"db" "MeanLat" "MeanLong"
"1" 1001 45.4587526608362 9.19194419609273
"2" 1002 45.4730813766604 9.1720785086037
"3" 1003 45.4794318287998 9.18697265648006
"4" 1004 45.4495940394134 9.19351970980057
"5" 1005 45.47205502426 9.22002106904983
"6" 1006 45.4896791675743 9.16093677886238
"7" 1007 45.4696696610166 9.22498457151082
"8" 1008 45.4823918636462 9.202880648401
"9" 1009 45.4630886086671 9.21364009380341
"10" 1010 45.4799836660159 9.22355119512615
"11" 1011 45.4564924719078 9.16422030888498
"12" 1012 45.5008338459985 9.15228326175566
"13" 1013 45.5024676431283 9.15956080559681
"14" 1014 45.4672644622486 9.15756744146347
"15" 1015 45.5028289738489 9.1783789335841
"16" 1016 45.4831239524599 9.1562281474998
"17" 1017 45.4873490501638 9.1674687088289
"18" 1018 45.5001805456545 9.20949764549732
"19" 1019 45.4835406728907 9.14995242210125
"20" 1020 45.4724157030556 9.18063417077065
"21" 1021 45.4579858896939 9.16878283023834
"22" 1022 45.4942672827766 9.18421482863596
"23" 1023 45.4795932168744 9.14370469457935
"24" 1024 45.4717117551932 9.19697687029839
