"Source","Target","Flow"
"Accursio - Portello","Accursio - Portello",12
"Accursio - Portello","Amendola M1",9
"Accursio - Portello","Arcivescovado",2
"Accursio - Portello","Arco della Pace 1 - Bertani",2
"Accursio - Portello","Arco della Pace 2 - Pagano",5
"Accursio - Portello","Arcole - Argelati",2
"Accursio - Portello","Augusto",20
"Accursio - Portello","Bausan - Brofferio",4
"Accursio - Portello","Bergognone - Tortona",6
"Accursio - Portello","Bertarelli",1
"Accursio - Portello","Bonomelli",1
"Accursio - Portello","Borsieri - Confalonieri",1
"Accursio - Portello","Brera",1
"Accursio - Portello","Brescia",3
"Accursio - Portello","Brianza - Venini",2
"Accursio - Portello","Buenos Aires - Argentina",1
"Accursio - Portello","Buonarroti",14
"Accursio - Portello","Ca' Granda - F. Testi",1
"Accursio - Portello","Cadorna 2",4
"Accursio - Portello","Cadorna 3",2
"Accursio - Portello","Caiazzo",1
"Accursio - Portello","Cairoli",43
"Accursio - Portello","Caneva - Tolentino",16
"Accursio - Portello","Canova - Sangiorgio",8
"Accursio - Portello","Cantore",2
"Accursio - Portello","Cantù",2
"Accursio - Portello","Carlo Magno - Alcuino",10
"Accursio - Portello","Castelli - Ailanti",32
"Accursio - Portello","Castello Acquario civico",2
"Accursio - Portello","Centrale 1",2
"Accursio - Portello","Chiesa - E. Filiberto",30
"Accursio - Portello","Conciliazione",1
"Accursio - Portello","Cordusio",2
"Accursio - Portello","Cusani",10
"Accursio - Portello","D'Ancona",6
"Accursio - Portello","Dante - San Tomaso",3
"Accursio - Portello","Dateo",4
"Accursio - Portello","De Angeli - R. Sanzio",24
"Accursio - Portello","Domodossola FNM - Filelfo",86
"Accursio - Portello","Duomo",8
"Accursio - Portello","Edison",1
"Accursio - Portello","Elba - Cimarosa",10
"Accursio - Portello","Emilia - Piceno",1
"Accursio - Portello","Erculea",1
"Accursio - Portello","F.Filzi",14
"Accursio - Portello","Farini - Quadrio",2
"Accursio - Portello","Fatebenefratelli",2
"Accursio - Portello","Festa del Perdono",1
"Accursio - Portello","Foppa - Caravaggio",2
"Accursio - Portello","Gadio - Paleocapa",1
"Accursio - Portello","Galvani - Restelli - RL",1
"Accursio - Portello","Garibaldi - Sturzo",3
"Accursio - Portello","Gioia - Pirelli",1
"Accursio - Portello","Gorizia 1",1
"Accursio - Portello","Govone - Borgese",3
"Accursio - Portello","Indipendenza-Castel Morrone",1
"Accursio - Portello","IV Novembre",2
"Accursio - Portello","Lancetti Passante - Maloja",7
"Accursio - Portello","Lanza",6
"Accursio - Portello","Legnano Arena civica",10
"Accursio - Portello","Loreto 1",1
"Accursio - Portello","Lotto",57
"Accursio - Portello","Mac Mahon - Artieri",39
"Accursio - Portello","Mac Mahon - Caracciolo",6
"Accursio - Portello","Maciachini - Marche",1
"Accursio - Portello","Manin - Bastioni",2
"Accursio - Portello","Manzoni",3
"Accursio - Portello","Marussig - Castelvetro",2
"Accursio - Portello","Mascagni",2
"Accursio - Portello","Melzi d Eril - Cagnola",6
"Accursio - Portello","Milizie - Tortona",1
"Accursio - Portello","Molino Dorino M1",1
"Accursio - Portello","Napoli - Washington",1
"Accursio - Portello","Naviglio Pavese - Torricelli",5
"Accursio - Portello","Nigra - Castellini",1
"Accursio - Portello","Pagano - Guido D'Arezzo",3
"Accursio - Portello","Palazzo Marino",1
"Accursio - Portello","Piazzi - Bernina",1
"Accursio - Portello","Porta Genova",16
"Accursio - Portello","Porta Nuova",2
"Accursio - Portello","Porta Venezia",1
"Accursio - Portello","Procaccini - Gramsci",17
"Accursio - Portello","Procaccini . Cimitero Monumentale",2
"Accursio - Portello","QT8 - Isernia",19
"Accursio - Portello","Repubblica",2
"Accursio - Portello","Risorgimento",8
"Accursio - Portello","Roncaglia - Washington",6
"Accursio - Portello","Rosario",2
"Accursio - Portello","S. F. Romana",1
"Accursio - Portello","San Babila",1
"Accursio - Portello","San Giovanni sul Muro",6
"Accursio - Portello","San Lorenzo - ""Colonne""",1
"Accursio - Portello","San Marco",1
"Accursio - Portello","San Pietro in Gessate",1
"Accursio - Portello","Sant'Agostino",1
"Accursio - Portello","Sant'Ambrogio",5
"Accursio - Portello","Sant'Angelo - P.ta Nuova",8
"Accursio - Portello","Santa Maria Beltrade",1
"Accursio - Portello","Santa Maria delle Grazie",6
"Accursio - Portello","Santissima Trinità",8
"Accursio - Portello","Sarpi Albertini",7
"Accursio - Portello","Sarpi Niccolini",5
"Accursio - Portello","Savona - Tolstoj",12
"Accursio - Portello","Sempione - Melzi d Eril",39
"Accursio - Portello","Sempione - RAI",42
"Accursio - Portello","Stuparich - Albani",29
"Accursio - Portello","Teodorico - Gattamelata",14
"Accursio - Portello","Teodosio - Pacini",1
"Accursio - Portello","Tommaseo",1
"Accursio - Portello","Triennale",3
"Accursio - Portello","Tunisia Lecco Bellintani",7
"Accursio - Portello","Università Cattolica",13
"Accursio - Portello","V Alpini",1
"Accursio - Portello","Valtellina - Farini",2
"Accursio - Portello","Vercelli - Cherubini",3
"Accursio - Portello","Vercelli - Piemonte",37
"Accursio - Portello","VI Febbraio",5
"Accursio - Portello","Vigliani - Scarampo",22
"Accursio - Portello","Villapizzone FFSS - Lambruschini",1
"Accursio - Portello","Vittor Pisani",1
"Accursio - Portello","XXV Aprile",5
"Accursio - Portello","Zavattari - Tempesta",19
"Adamello - Lorenzini","Adamello - Lorenzini",1
"Adamello - Lorenzini","Arcivescovado",1
"Adamello - Lorenzini","Arcole - Argelati",6
"Adamello - Lorenzini","Ascanio Sforza - Pavia",16
"Adamello - Lorenzini","Balilla - Tibaldi",2
"Adamello - Lorenzini","Benaco - Brembo",39
"Adamello - Lorenzini","Bocconi 2 - Bach",10
"Adamello - Lorenzini","Bocconi 3 - I. Aragona",1
"Adamello - Lorenzini","Bonomelli",31
"Adamello - Lorenzini","Brenta MM",8
"Adamello - Lorenzini","Buenos Aires - Argentina",1
"Adamello - Lorenzini","Cadore - Pinaroli",1
"Adamello - Lorenzini","Cadorna 1",18
"Adamello - Lorenzini","Cadorna 2",1
"Adamello - Lorenzini","Cadorna 3",3
"Adamello - Lorenzini","Cantore",1
"Adamello - Lorenzini","Cardinal Ferrari",1
"Adamello - Lorenzini","Cinque Giornate",2
"Adamello - Lorenzini","Crema - Giulio Romano",7
"Adamello - Lorenzini","Crocetta",3
"Adamello - Lorenzini","D'Ancona",2
"Adamello - Lorenzini","De Angeli - Ripamonti",5
"Adamello - Lorenzini","Diaz",7
"Adamello - Lorenzini","Domodossola FNM - Filelfo",1
"Adamello - Lorenzini","Edison",2
"Adamello - Lorenzini","Elba - Cimarosa",1
"Adamello - Lorenzini","Emilia - Piceno",3
"Adamello - Lorenzini","Fiamma",1
"Adamello - Lorenzini","Friuli",9
"Adamello - Lorenzini","Garibaldi - Sturzo",2
"Adamello - Lorenzini","Gioia - Sassetti",1
"Adamello - Lorenzini","Gorini - Strambio",6
"Adamello - Lorenzini","Gorizia 1",7
"Adamello - Lorenzini","Gorizia 2",3
"Adamello - Lorenzini","Istria M5 - F. Testi",2
"Adamello - Lorenzini","Lazio - Vasari - Morosini",3
"Adamello - Lorenzini","Lodi - Papi",36
"Adamello - Lorenzini","Lombardia - Vallazze",1
"Adamello - Lorenzini","Majno - Baretti",2
"Adamello - Lorenzini","Marussig - Castelvetro",1
"Adamello - Lorenzini","Mascagni",1
"Adamello - Lorenzini","Medaglie D'Oro 1",7
"Adamello - Lorenzini","Medaglie D'Oro 2",3
"Adamello - Lorenzini","Muratori - Umbria",1
"Adamello - Lorenzini","Naviglio G.Valenza",1
"Adamello - Lorenzini","Naviglio Pavese - Torricelli",17
"Adamello - Lorenzini","Palazzo Marino",2
"Adamello - Lorenzini","Patellani",1
"Adamello - Lorenzini","Piazzale Lodi",78
"Adamello - Lorenzini","Porta Genova",8
"Adamello - Lorenzini","Rastrelli - Larga - RIMOSSA PROVVISORIAMENTE",1
"Adamello - Lorenzini","Regina Margherita",2
"Adamello - Lorenzini","Resistenza Partigiana",10
"Adamello - Lorenzini","Ripamonti Bellezza",7
"Adamello - Lorenzini","Romolo M2",3
"Adamello - Lorenzini","S. Nazaro in Brolo",2
"Adamello - Lorenzini","San Babila",2
"Adamello - Lorenzini","San Gottardo - Gentilino",11
"Adamello - Lorenzini","San Marco",1
"Adamello - Lorenzini","San Vito",1
"Adamello - Lorenzini","Sant'Ambrogio",1
"Adamello - Lorenzini","Santa Maria Beltrade",1
"Adamello - Lorenzini","Santissima Trinità",2
"Adamello - Lorenzini","Sarpi Albertini",1
"Adamello - Lorenzini","Spadolini - Centro Leoni",10
"Adamello - Lorenzini","Sraffa",3
"Adamello - Lorenzini","Susa - Sidoli",1
"Adamello - Lorenzini","Tiraboschi - Muratori",3
"Adamello - Lorenzini","Torino - Carrobbio",1
"Adamello - Lorenzini","Toscana- Leoni",1
"Adamello - Lorenzini","Treves",1
"Adamello - Lorenzini","Tunisia - Cozzi",1
"Adamello - Lorenzini","Università Bocconi",4
"Adamello - Lorenzini","Università Cattolica",1
"Adamello - Lorenzini","Velasca",1
"Adamello - Lorenzini","VIII novembre",2
"Adamello - Lorenzini","XXIV Maggio",3
"Alserio - Cola Montano","Alserio - Cola Montano",29
"Alserio - Cola Montano","Arcivescovado",2
"Alserio - Cola Montano","Arco della Pace 1 - Bertani",2
"Alserio - Cola Montano","Augusto",1
"Alserio - Cola Montano","Baldinucci - Maffucci",2
"Alserio - Cola Montano","Bausan - Brofferio",10
"Alserio - Cola Montano","Borgogna",1
"Alserio - Cola Montano","Borsieri - Confalonieri",17
"Alserio - Cola Montano","Bovisa - Lambruschini",4
"Alserio - Cola Montano","Bovisa Passante 1 - Alfieri",16
"Alserio - Cola Montano","Brera",1
"Alserio - Cola Montano","Brianza - Venini",4
"Alserio - Cola Montano","Bronzetti - Archimede",1
"Alserio - Cola Montano","Buenos Aires - Argentina",1
"Alserio - Cola Montano","Buenos Aires - Lima",2
"Alserio - Cola Montano","Ca' Granda - F. Testi",4
"Alserio - Cola Montano","Cadorna 1",1
"Alserio - Cola Montano","Cadorna 3",3
"Alserio - Cola Montano","Caiazzo",21
"Alserio - Cola Montano","Cairoli",6
"Alserio - Cola Montano","Caneva - Tolentino",2
"Alserio - Cola Montano","Cantore",1
"Alserio - Cola Montano","Cantù",2
"Alserio - Cola Montano","Castelli - Ailanti",4
"Alserio - Cola Montano","Castello Acquario civico",1
"Alserio - Cola Montano","Cavour",7
"Alserio - Cola Montano","Centrale 1",18
"Alserio - Cola Montano","Centrale 2",3
"Alserio - Cola Montano","Chiesa - E. Filiberto",1
"Alserio - Cola Montano","Chiese - F. Testi",2
"Alserio - Cola Montano","Cinque Giornate",1
"Alserio - Cola Montano","Cordusio",1
"Alserio - Cola Montano","Crocetta",1
"Alserio - Cola Montano","D'Ancona",3
"Alserio - Cola Montano","De Angeli - R. Sanzio",1
"Alserio - Cola Montano","De Marchi - Lucini",3
"Alserio - Cola Montano","Dergano",1
"Alserio - Cola Montano","Diaz",2
"Alserio - Cola Montano","Domodossola FNM - Filelfo",2
"Alserio - Cola Montano","Donizetti ""Provincia"" - RIMOSSA PROVVISORIAMENTE",2
"Alserio - Cola Montano","Duomo",2
"Alserio - Cola Montano","Edison",4
"Alserio - Cola Montano","Elba - Cimarosa",1
"Alserio - Cola Montano","F.Filzi",1
"Alserio - Cola Montano","Farini - Quadrio",9
"Alserio - Cola Montano","Fatebenefratelli",1
"Alserio - Cola Montano","Foppa - Caravaggio",1
"Alserio - Cola Montano","Galvani - Restelli - RL",7
"Alserio - Cola Montano","Garibaldi - Sturzo",1
"Alserio - Cola Montano","Garibaldi Pepe",19
"Alserio - Cola Montano","Gioia - Carissimi",10
"Alserio - Cola Montano","Gioia - Cassina De' Pomm",4
"Alserio - Cola Montano","Gioia - Pirelli",2
"Alserio - Cola Montano","Gioia - Sassetti",28
"Alserio - Cola Montano","Giovanni XXIII",7
"Alserio - Cola Montano","Imbonati - Dergano M3",9
"Alserio - Cola Montano","Istria M5 - F. Testi",1
"Alserio - Cola Montano","IV Novembre",2
"Alserio - Cola Montano","Lagosta",8
"Alserio - Cola Montano","Lancetti Passante - Maloja",15
"Alserio - Cola Montano","Lanza",6
"Alserio - Cola Montano","Legnano Arena civica",4
"Alserio - Cola Montano","Livigno - Monte San Genesio",6
"Alserio - Cola Montano","Lodi - Papi",1
"Alserio - Cola Montano","M. Gioia - ""Regione""",1
"Alserio - Cola Montano","Maciachini - Marche",6
"Alserio - Cola Montano","Manin - Bastioni",5
"Alserio - Cola Montano","Marussig - Castelvetro",2
"Alserio - Cola Montano","Mascagni",1
"Alserio - Cola Montano","Meda",3
"Alserio - Cola Montano","Morozzo della Rocca",4
"Alserio - Cola Montano","Moscova",11
"Alserio - Cola Montano","Murat - Villani - Milano Sport",1
"Alserio - Cola Montano","Muratori - Umbria",2
"Alserio - Cola Montano","Napo Torriani",1
"Alserio - Cola Montano","Naviglio Pavese - Torricelli",2
"Alserio - Cola Montano","Nigra - Castellini",4
"Alserio - Cola Montano","Ospedale Maggiore",2
"Alserio - Cola Montano","P.zza Luigi di Savoia",1
"Alserio - Cola Montano","Palestro 2",1
"Alserio - Cola Montano","Piazza Carbonari",4
"Alserio - Cola Montano","Piazza Nizza",2
"Alserio - Cola Montano","Piazzi - Bernina",6
"Alserio - Cola Montano","Piola",3
"Alserio - Cola Montano","Pola RL",46
"Alserio - Cola Montano","Porta Nuova",4
"Alserio - Cola Montano","Porta Venezia",2
"Alserio - Cola Montano","Porta Venezia 2",2
"Alserio - Cola Montano","Porta Volta civ. 5",5
"Alserio - Cola Montano","Procaccini - Gramsci",3
"Alserio - Cola Montano","Reni - Guardi",1
"Alserio - Cola Montano","Repubblica",1
"Alserio - Cola Montano","Resistenza Partigiana",1
"Alserio - Cola Montano","Restelli - Galvani RL 1",2
"Alserio - Cola Montano","Ripamonti Bellezza",1
"Alserio - Cola Montano","Risorgimento",3
"Alserio - Cola Montano","Romagna - Pascoli",4
"Alserio - Cola Montano","Romolo M2",2
"Alserio - Cola Montano","Rotonda della Besana",1
"Alserio - Cola Montano","S. F. Romana",1
"Alserio - Cola Montano","S. Nazaro in Brolo",1
"Alserio - Cola Montano","San Babila",1
"Alserio - Cola Montano","San Giovanni sul Muro",4
"Alserio - Cola Montano","San Gottardo - Gentilino",2
"Alserio - Cola Montano","San Lorenzo - ""Colonne""",3
"Alserio - Cola Montano","San Marco",11
"Alserio - Cola Montano","San Pietro all'Orto",17
"Alserio - Cola Montano","San Pietro in Gessate",3
"Alserio - Cola Montano","Sant'Angelo - P.ta Nuova",3
"Alserio - Cola Montano","Santa Maria Beltrade",1
"Alserio - Cola Montano","Santa Maria delle Grazie",1
"Alserio - Cola Montano","Santa Sofia",1
"Alserio - Cola Montano","Santissima Trinità",2
"Alserio - Cola Montano","Sarpi Albertini",5
"Alserio - Cola Montano","Sarpi Niccolini",20
"Alserio - Cola Montano","Settembrini - Vitruvio",1
"Alserio - Cola Montano","Stefini - Ressi",1
"Alserio - Cola Montano","Stelvio - Farini",5
"Alserio - Cola Montano","Teodorico - Gattamelata",1
"Alserio - Cola Montano","Teodosio - Pacini",1
"Alserio - Cola Montano","Torino - Carrobbio",3
"Alserio - Cola Montano","Treves",2
"Alserio - Cola Montano","Tunisia - Cozzi",2
"Alserio - Cola Montano","Tunisia Lecco Bellintani",2
"Alserio - Cola Montano","Valtellina - Aprica",7
"Alserio - Cola Montano","Valtellina - Farini",1
"Alserio - Cola Montano","Velasca",1
"Alserio - Cola Montano","Vercelli - Piemonte",1
"Alserio - Cola Montano","Verrocchio - Juvara",1
"Alserio - Cola Montano","Villapizzone FFSS - Lambruschini",1
"Alserio - Cola Montano","XXV Aprile",7
"Alserio - Cola Montano","Zara M3",18
"Amendola M1","Accursio - Portello",5
"Amendola M1","Adamello - Lorenzini",1
"Amendola M1","Amendola M1",25
"Amendola M1","Aquileia",2
"Amendola M1","Arcivescovado",12
"Amendola M1","Arco della Pace 1 - Bertani",12
"Amendola M1","Arco della Pace 2 - Pagano",12
"Amendola M1","Ascanio Sforza - Pavia",6
"Amendola M1","Balilla - Tibaldi",1
"Amendola M1","Bausan - Brofferio",1
"Amendola M1","Beccaria",1
"Amendola M1","Bergognone - Tortona",9
"Amendola M1","Bertarelli",7
"Amendola M1","Bocconi 3 - I. Aragona",3
"Amendola M1","Borsieri - Confalonieri",1
"Amendola M1","Bovisa - Lambruschini",8
"Amendola M1","Brera",5
"Amendola M1","Brescia",63
"Amendola M1","Bronzetti - Archimede",1
"Amendola M1","Buenos Aires - Argentina",1
"Amendola M1","Buenos Aires - Lima",3
"Amendola M1","Buonarroti",22
"Amendola M1","Cadore - Pinaroli",3
"Amendola M1","Cadorna 1",27
"Amendola M1","Cadorna 2",1
"Amendola M1","Cadorna 3",6
"Amendola M1","Cairoli",6
"Amendola M1","Caldara / Curtatone",1
"Amendola M1","Caneva - Tolentino",5
"Amendola M1","Canova - Sangiorgio",16
"Amendola M1","Cantore",2
"Amendola M1","Cantù",15
"Amendola M1","Carlo Magno - Alcuino",53
"Amendola M1","Castelli - Ailanti",3
"Amendola M1","Cavour",1
"Amendola M1","Centrale 2",2
"Amendola M1","Chiesa - E. Filiberto",31
"Amendola M1","Cinque Giornate",1
"Amendola M1","Col di Lana - Col Moschin",1
"Amendola M1","Conciliazione",17
"Amendola M1","Coni Zugna Solari",7
"Amendola M1","Cordusio",14
"Amendola M1","Cusani",2
"Amendola M1","D'Ancona",6
"Amendola M1","Dante - San Tomaso",4
"Amendola M1","De Angeli - R. Sanzio",58
"Amendola M1","De Angeli - Ripamonti",16
"Amendola M1","Diaz",5
"Amendola M1","Domodossola FNM - Filelfo",38
"Amendola M1","Duomo",29
"Amendola M1","Edison",3
"Amendola M1","Elba - Cimarosa",16
"Amendola M1","Erculea",2
"Amendola M1","F.Filzi",2
"Amendola M1","Farini - Quadrio",3
"Amendola M1","Fatebenefratelli",5
"Amendola M1","Gadio - Paleocapa",1
"Amendola M1","Garibaldi - Sturzo",6
"Amendola M1","Gioia - Sassetti",1
"Amendola M1","Giovanni XXIII",14
"Amendola M1","Gorizia 1",1
"Amendola M1","Gorizia 2",1
"Amendola M1","Govone - Borgese",1
"Amendola M1","Imbonati - Dergano M3",8
"Amendola M1","Italia - San Martino",1
"Amendola M1","Lagosta",2
"Amendola M1","Lanza",1
"Amendola M1","Legnano Arena civica",5
"Amendola M1","Lotto",6
"Amendola M1","Mac Mahon - Caracciolo",24
"Amendola M1","Maciachini - Marche",1
"Amendola M1","Majno - Baretti",9
"Amendola M1","Manin - Bastioni",1
"Amendola M1","Marussig - Castelvetro",6
"Amendola M1","Mascagni",4
"Amendola M1","Meda",3
"Amendola M1","Medaglie D'Oro 2",2
"Amendola M1","Melzi d Eril - Cagnola",1
"Amendola M1","Milizie - Tortona",19
"Amendola M1","Missori",2
"Amendola M1","Molino delle Armi",1
"Amendola M1","Montenero - Spartaco",2
"Amendola M1","Morozzo della Rocca",6
"Amendola M1","Moscova",10
"Amendola M1","Napoli - Washington",2
"Amendola M1","Naviglio Pavese - Torricelli",2
"Amendola M1","Pagano - Guido D'Arezzo",25
"Amendola M1","Palazzo Marino",24
"Amendola M1","Patellani",2
"Amendola M1","Pola RL",1
"Amendola M1","Porta Genova",4
"Amendola M1","Porta Nuova",11
"Amendola M1","Porta Venezia",1
"Amendola M1","Porta Volta civ. 5",3
"Amendola M1","Procaccini - Gramsci",13
"Amendola M1","Procaccini . Cimitero Monumentale",2
"Amendola M1","QT8 - Isernia",7
"Amendola M1","Resistenza Partigiana",14
"Amendola M1","Roncaglia - Washington",7
"Amendola M1","Rosario",4
"Amendola M1","S. Stefano",2
"Amendola M1","S.Gioachimo",2
"Amendola M1","S.M. del Carso",3
"Amendola M1","San Babila",3
"Amendola M1","San Giorgio",2
"Amendola M1","San Giovanni sul Muro",3
"Amendola M1","San Gottardo - Gentilino",6
"Amendola M1","San Lorenzo - ""Colonne""",2
"Amendola M1","San Marco",21
"Amendola M1","San Pietro all'Orto",8
"Amendola M1","San Pietro in Gessate",1
"Amendola M1","San Vito",1
"Amendola M1","Sant'Agostino",17
"Amendola M1","Sant'Ambrogio",17
"Amendola M1","Sant'Angelo - P.ta Nuova",3
"Amendola M1","Santa Maria delle Grazie",16
"Amendola M1","Santa Sofia",1
"Amendola M1","Santissima Trinità",18
"Amendola M1","Sarpi Albertini",13
"Amendola M1","Sarpi Niccolini",14
"Amendola M1","Savona - Tolstoj",1
"Amendola M1","Sempione - Melzi d Eril",8
"Amendola M1","Sempione - RAI",39
"Amendola M1","Stuparich - Albani",8
"Amendola M1","Taramelli RL",1
"Amendola M1","Tommaseo",23
"Amendola M1","Torino - Carrobbio",1
"Amendola M1","Treves",3
"Amendola M1","Triennale",4
"Amendola M1","Università Cattolica",3
"Amendola M1","V Alpini",9
"Amendola M1","Vercelli - Cherubini",22
"Amendola M1","Vercelli - Piemonte",48
"Amendola M1","Vesuvio - Lipari",12
"Amendola M1","VI Febbraio",53
"Amendola M1","Vigliani - Scarampo",9
"Amendola M1","VIII novembre",6
"Amendola M1","Villapizzone FFSS - Lambruschini",26
"Amendola M1","XXIV Maggio",7
"Amendola M1","XXV Aprile",25
"Amendola M1","Zavattari - Tempesta",6
"Aquileia","Adamello - Lorenzini",1
"Aquileia","Amendola M1",4
"Aquileia","Aquileia",17
"Aquileia","Arcivescovado",8
"Aquileia","Arco della Pace 2 - Pagano",1
"Aquileia","Ascanio Sforza - Pavia",2
"Aquileia","Augusto",1
"Aquileia","Balilla - Tibaldi",2
"Aquileia","Beatrice d'Este - Cassolo",3
"Aquileia","Beccaria",24
"Aquileia","Bergognone - Tortona",5
"Aquileia","Bertarelli",4
"Aquileia","Bocconi 2 - Bach",1
"Aquileia","Bocconi 3 - I. Aragona",5
"Aquileia","Bonomelli",1
"Aquileia","Brescia",1
"Aquileia","Buonarroti",18
"Aquileia","Cadorna 1",20
"Aquileia","Cadorna 2",1
"Aquileia","Cadorna 3",5
"Aquileia","Cairoli",1
"Aquileia","Caneva - Tolentino",1
"Aquileia","Cantore",14
"Aquileia","Cardinal Ferrari",2
"Aquileia","Carlo Magno - Alcuino",1
"Aquileia","Castel Morrone - M. A. Di Savoia",1
"Aquileia","Castelli - Ailanti",1
"Aquileia","Castello Acquario civico",2
"Aquileia","Cavour",1
"Aquileia","Centrale 1",8
"Aquileia","Centrale 2",1
"Aquileia","Chiesa - E. Filiberto",2
"Aquileia","Cinque Giornate",2
"Aquileia","Cirene - Friuli",1
"Aquileia","Col di Lana - Col Moschin",13
"Aquileia","Conciliazione",42
"Aquileia","Coni Zugna Solari",25
"Aquileia","Cordusio",2
"Aquileia","Crema - Giulio Romano",1
"Aquileia","Crocetta",5
"Aquileia","Cusani",6
"Aquileia","D'Ancona",12
"Aquileia","Dante - San Tomaso",1
"Aquileia","Dateo",1
"Aquileia","De Angeli - R. Sanzio",17
"Aquileia","De Angeli - Ripamonti",1
"Aquileia","Diaz",1
"Aquileia","Domodossola FNM - Filelfo",6
"Aquileia","Donizetti ""Provincia"" - RIMOSSA PROVVISORIAMENTE",1
"Aquileia","Duomo",9
"Aquileia","Durante - D'aviano",1
"Aquileia","Edison",1
"Aquileia","Elba - Cimarosa",9
"Aquileia","Emilia - Piceno",1
"Aquileia","Erculea",2
"Aquileia","Fatebenefratelli",1
"Aquileia","Festa del Perdono",1
"Aquileia","Foppa - Caravaggio",10
"Aquileia","Gadio - Paleocapa",3
"Aquileia","Garibaldi - Sturzo",1
"Aquileia","Giovanni XXIII",16
"Aquileia","Gorizia 1",9
"Aquileia","Gorizia 2",4
"Aquileia","Govone - Borgese",1
"Aquileia","Italia - San Martino",3
"Aquileia","Lanza",4
"Aquileia","Legnano Arena civica",3
"Aquileia","Lodi - Papi",1
"Aquileia","Lotto",1
"Aquileia","Majno - Baretti",1
"Aquileia","Mascagni",1
"Aquileia","Meda",10
"Aquileia","Melzi d Eril - Cagnola",1
"Aquileia","Mentana",4
"Aquileia","Milizie - Tortona",6
"Aquileia","Missori",3
"Aquileia","Molino delle Armi",3
"Aquileia","Morgagni Redi",13
"Aquileia","Morozzo della Rocca",8
"Aquileia","Moscova",5
"Aquileia","Napoli - Washington",13
"Aquileia","Naviglio G.Valenza",1
"Aquileia","Naviglio Pavese - Torricelli",1
"Aquileia","Ospedale Maggiore",1
"Aquileia","Pagano - Guido D'Arezzo",55
"Aquileia","Patellani",3
"Aquileia","Piazzi - Bernina",1
"Aquileia","Porta Genova",9
"Aquileia","Porta Nuova",1
"Aquileia","Porta Volta civ. 5",1
"Aquileia","Procaccini - Gramsci",5
"Aquileia","Regina Margherita",3
"Aquileia","Resistenza Partigiana",12
"Aquileia","Richini",2
"Aquileia","Risorgimento",1
"Aquileia","Romagna - Pascoli",1
"Aquileia","Romolo M2",1
"Aquileia","Roncaglia - Washington",23
"Aquileia","Rosario",26
"Aquileia","Rotonda della Besana",2
"Aquileia","S. Nazaro in Brolo",2
"Aquileia","S. Stefano",1
"Aquileia","S.Gioachimo",1
"Aquileia","S.M. del Carso",2
"Aquileia","San Babila",1
"Aquileia","San Barnaba H Mangiagalli",7
"Aquileia","San Giorgio",3
"Aquileia","San Giovanni sul Muro",16
"Aquileia","San Gottardo - Gentilino",6
"Aquileia","San Lorenzo - ""Colonne""",1
"Aquileia","San Pietro all'Orto",1
"Aquileia","San Pietro in Gessate",1
"Aquileia","San Vito",3
"Aquileia","Sant'Agostino",23
"Aquileia","Sant'Ambrogio",18
"Aquileia","Sant'Angelo - P.ta Nuova",1
"Aquileia","Sant'Eustorgio- P.ta Ticinese",3
"Aquileia","Santa Maria Beltrade",11
"Aquileia","Santa Maria delle Grazie",21
"Aquileia","Santa Sofia",1
"Aquileia","Santissima Trinità",3
"Aquileia","Sarpi Albertini",8
"Aquileia","Sarpi Niccolini",3
"Aquileia","Savona - Tolstoj",2
"Aquileia","Segantini - Darwin",1
"Aquileia","Sempione - RAI",4
"Aquileia","Spadolini - Centro Leoni",1
"Aquileia","Sraffa",3
"Aquileia","Stuparich - Albani",1
"Aquileia","Susa - Sidoli",1
"Aquileia","Taramelli RL",1
"Aquileia","Temolo - Innovazione",1
"Aquileia","Tommaseo",28
"Aquileia","Torino - Carrobbio",1
"Aquileia","Triennale",9
"Aquileia","Università Bocconi",3
"Aquileia","Università Cattolica",15
"Aquileia","V Alpini",4
"Aquileia","Vercelli - Cherubini",22
"Aquileia","Vercelli - Piemonte",35
"Aquileia","Vesuvio - Lipari",18
"Aquileia","VI Febbraio",6
"Aquileia","VIII novembre",1
"Aquileia","Vittor Pisani",2
"Aquileia","XXIV Maggio",14
"Aquileia","Zavattari - Tempesta",5
"Arcivescovado","Accursio - Portello",6
"Arcivescovado","Adamello - Lorenzini",1
"Arcivescovado","Amendola M1",8
"Arcivescovado","Aquileia",3
"Arcivescovado","Arcivescovado",29
"Arcivescovado","Arco della Pace 1 - Bertani",12
"Arcivescovado","Arco della Pace 2 - Pagano",6
"Arcivescovado","Arcole - Argelati",1
"Arcivescovado","Ascanio Sforza - Pavia",6
"Arcivescovado","Augusto",15
"Arcivescovado","B.Marcello - Boscovich",2
"Arcivescovado","Bacone - Monteverdi",5
"Arcivescovado","Balilla - Tibaldi",28
"Arcivescovado","Bassini - Grossich",2
"Arcivescovado","Beatrice d'Este - Cassolo",18
"Arcivescovado","Beccaria",3
"Arcivescovado","Benaco - Brembo",1
"Arcivescovado","Bergognone - Tortona",3
"Arcivescovado","Bernini",12
"Arcivescovado","Bertarelli",37
"Arcivescovado","Bocconi 2 - Bach",10
"Arcivescovado","Bocconi 3 - I. Aragona",31
"Arcivescovado","Bonomelli",4
"Arcivescovado","Borgogna",11
"Arcivescovado","Borsieri - Confalonieri",4
"Arcivescovado","Brenta MM",5
